transaction_id,user_id,transaction_date,region,city,store_id,product_category,sale_amount,price,quantity,status,age,subscription,email,username,raw_timestamp
T00001,1032,2025-11-24,East,Chennai,S102,Sports,8924.45,601.09,9,Completed,53,Basic,user1@example.com,user1,2025-11-24 01:01:05
T00002,1072,2025-04-22,East,Kolkata,S104,Grocery,7264.02,1201.67,10,Cancelled,16,Premium,user2@example.com,user2,2025-04-22 22:27:21
T00003,1044,2025-05-23,West,Bengaluru,S107,Electronics,11490.84,819.62,6,Cancelled,54,Basic,user3@example.com,user3,2025-05-23 01:46:29
T00004,1011,2025-10-02,North,Pune,S110,Furniture,11075.31,667.89,2,Completed,58,Premium,user4@example.com,user4,2025-10-02 09:05:54
T00005,1059,2025-04-30,North,Chennai,S106,Clothing,4623.5,4339.09,4,Cancelled,60,Standard,user5@example.com,user5,2025-04-30 20:04:38
T00006,1021,2025-11-22,South,Kolkata,S105,Sports,8776.61,897.14,9,Pending,59,Basic,user6@example.com,user6,2025-11-22 01:14:52
T00007,1009,2025-01-17,East,Pune,S104,Sports,4873.86,4034.98,8,,57,Basic,user7@example.com,user7,2025-01-17 04:16:08
T00008,1096,2025-05-07,South,Kolkata,S106,Furniture,6513.83,3737.7,3,,21,Premium,user8@example.com,user8,2025-05-07 03:09:40
T00009,1009,2025-03-23,South,Kolkata,S110,Grocery,5123.7,3970.79,9,Cancelled,51,Premium,user9@example.com,user9,2025-03-23 21:46:07
T00010,1099,2025-12-16,North,Bengaluru,S105,Grocery,9035.45,4429.7,3,,16,Standard,user10@example.com,user10,2025-12-16 23:16:32
T00011,1081,2025-04-02,North,Mumbai,S103,Clothing,1366.29,2563.02,3,Completed,54,Basic,user11@example.com,user11,2025-04-02 15:01:07
T00012,1040,2025-07-05,East,Hyderabad,S104,Books,9996.82,4399.67,2,Completed,62,Basic,user12@example.com,user12,2025-07-05 02:48:34
T00013,1071,2025-03-06,East,Delhi,S109,Books,5755.86,685.54,7,Pending,50,Standard,user13@example.com,user13,2025-03-06 22:12:45
T00014,1048,2025-06-09,South,Ahmedabad,S102,Furniture,8093.07,2025.01,4,Completed,37,Premium,user14@example.com,user14,2025-06-09 18:35:14
