order_id,user_id,product_id,category,region,city,priority,status,quantity,base_price,price,amount,order_date,old_name,email
10001,1052.0,P792,Books,North,Delhi,Low,Completed,5,1299.97,1299.97,6499.85,2025-10-30,User_1,user1@example.com
10002,1308.0,P127,Sports,West,Mumbai,High,Cancelled,1,559.11,559.11,559.11,2025-11-29,User_2,user2@example.com
10003,1003.0,P877,Furniture,West,Mumbai,Low,Pending,8,2987.4,2987.4,23899.2,2025-06-24,User_3,user3@example.com
10004,1047.0,P489,Electronics,East,Kolkata,Medium,Pending,4,4790.34,4790.34,19161.36,2025-11-06,User_4,user4@example.com
10005,1193.0,P180,Sports,East,Kolkata,Medium,Cancelled,8,2727.52,2727.52,21820.16,2025-11-13,User_5,user5@example.com
10006,1116.0,P891,Clothing,East,Patna,High,Completed,4,3552.4,3552.4,14209.6,2025-02-21,User_6,user6@example.com
10007,1189.0,P463,Furniture,West,Pune,Low,Pending,8,3214.85,3214.85,25718.8,2025-12-26,User_7,user7@example.com
10008,1236.0,P488,Clothing,North,Lucknow,Low,Cancelled,3,2717.29,2717.29,8151.87,2025-10-13,User_8,user8@example.com
10009,1117.0,P941,Electronics,South,Chennai,Medium,Pending,6,4229.97,4229.97,25379.82,2025-05-18,User_9,user9@example.com
10010,1335.0,P611,Groceries,North,Delhi,Low,Pending,10,4394.2,4394.2,43942.0,2025-03-15,User_10,user10@example.com
10011,1382.0,P698,Groceries,East,Kolkata,Low,Pending,4,3750.45,3750.45,15001.8,2025-07-05,User_11,user11@example.com
10012,1440.0,P212,Furniture,South,Hyderabad,Low,Completed,9,2518.23,2518.23,22664.07,2025-12-15,User_12,user12@example.com
10013,1239.0,P641,Clothing,West,Ahmedabad,Low,Completed,2,1985.36,1985.36,3970.72,2025-12-15,User_13,user13@example.com
10014,1174.0,P214,Clothing,North,Lucknow,Medium,Completed,9,3779.3,3779.3,34013.7,2025-08-21,User_14,user14@example.com
10015,1259.0,P208,Books,North,Lucknow,Medium,Cancelled,5,4862.25,4862.25,24311.25,2025-09-17,User_15,user15@example.com
10016,1398.0,P643,Electronics,South,Hyderabad,Low,Pending,6,3836.3,3836.3,23017.8,2025-09-08,User_16,user16@example.com
10017,1157.0,P345,Electronics,North,Delhi,High,Cancelled,6,4405.74,4405.74,26434.44,2025-02-10,User_17,user17@example.com
10018,1272.0,P884,Furniture,North,Lucknow,High,Cancelled,8,4098.51,4098.51,32788.08,2025-09-01,User_18,user18@example.com
10019,1108.0,P652,Books,South,Bengaluru,Low,Completed,9,4374.92,4374.92,39374.28,2025-06-09,User_19,user19@example.com
10020,1061.0,P353,Furniture,West,Ahmedabad,High,Pending,6,2246.69,2246.69,13480.14,2025-01-11,User_20,user20@example.com
10021,1030.0,P334,Electronics,South,Chennai,High,Pending,4,135.24,135.24,540.96,2025-02-06,User_21,user21@example.com
10022,1478.0,P684,Sports,South,Bengaluru,Medium,Completed,8,1149.76,1149.76,9198.08,2025-08-31,User_22,user22@example.com
10023,1216.0,P520,Groceries,West,Mumbai,Low,Completed,2,574.96,574.96,1149.92,2025-12-11,User_23,user23@example.com
10024,1055.0,P354,Furniture,North,Delhi,High,Cancelled,7,3668.25,3668.25,25677.75,2025-08-18,User_24,user24@example.com
10025,1472.0,P177,Groceries,South,Bengaluru,Low,Completed,3,1464.87,1464.87,4394.61,2025-01-26,User_25,user25@example.com
10026,1109.0,P985,Groceries,North,Delhi,High,Completed,4,914.92,914.92,3659.68,2025-07-14,User_26,user26@example.com
10027,1146.0,P533,Books,North,Chandigarh,Low,Cancelled,5,4639.94,4639.94,23199.7,2025-12-05,User_27,user27@example.com
10028,1296.0,P853,Sports,West,Mumbai,High,Cancelled,4,1553.87,1553.87,6215.48,2025-06-10,User_28,user28@example.com
10029,1271.0,P261,Electronics,North,Delhi,Low,Completed,10,2436.26,2436.26,24362.6,2025-04-06,User_29,user29@example.com
10030,1061.0,P683,Furniture,North,Lucknow,Low,Cancelled,2,3408.54,3408.54,6817.08,2025-01-21,User_30,user30@example.com
10031,1133.0,P309,Books,North,Chandigarh,Low,Pending,10,2869.61,2869.61,28696.1,2025-05-03,User_31,user31@example.com
10032,1161.0,P869,Electronics,East,Bhubaneswar,High,Pending,3,3391.28,3391.28,10173.84,2025-11-15,User_32,user32@example.com
10033,1477.0,P457,Electronics,North,Delhi,High,Pending,9,1144.46,1144.46,10300.14,2025-05-26,User_33,user33@example.com
10034,1413.0,P769,Sports,South,Bengaluru,High,Cancelled,9,3547.35,3547.35,31926.15,2025-10-11,User_34,user34@example.com
10035,1059.0,P209,Books,East,Patna,Low,Completed,2,4700.76,4700.76,9401.52,2025-05-20,User_35,user35@example.com
10036,1324.0,P973,Clothing,East,Patna,Low,Pending,4,3616.3,3616.3,14465.2,2025-05-09,User_36,user36@example.com
10037,1170.0,P889,Furniture,North,Delhi,Low,Pending,7,4163.81,4163.81,29146.67,2025-03-24,User_37,user37@example.com
10038,1483.0,P807,Furniture,West,Ahmedabad,Low,Completed,7,2848.44,2848.44,19939.08,2025-07-09,User_38,user38@example.com
10039,1477.0,P915,Electronics,South,Bengaluru,Medium,Completed,3,304.96,304.96,914.88,2025-12-16,User_39,user39@example.com
10040,1447.0,P516,Sports,South,Chennai,Low,Completed,2,1833.03,1833.03,3666.06,2025-05-02,User_40,user40@example.com
10041,1170.0,P901,Groceries,South,Hyderabad,Low,Cancelled,7,221.45,221.45,1550.15,2025-05-08,User_41,user41@example.com
10042,1240.0,P327,Furniture,East,Kolkata,Medium,Pending,2,1974.45,1974.45,3948.9,2025-06-06,User_42,user42@example.com
10043,1142.0,P985,Electronics,South,Hyderabad,Medium,Pending,1,3334.16,3334.16,3334.16,2025-11-25,User_43,user43@example.com
10044,,P998,Clothing,West,Ahmedabad,High,Cancelled,9,1722.63,1722.63,15503.67,2025-05-16,User_44,user44@example.com
10045,1160.0,P546,Sports,North,Delhi,Low,Completed,10,2229.36,2229.36,22293.6,2025-07-17,User_45,user45@example.com
