customer_id,customer_name,email,registration_date,customer_type
1,Allison Hill,allison.hill1@gmail.com,2024-06-21 22:43:23,REGULAR
2,Brian Yang,brian.yang2@hotmail.com,2024-12-12 17:53:58,REGULAR
3,Javier Johnson,javier.johnson3@gmail.com,2026-04-27 04:44:17,REGULAR
4,Lance Hoffman,lance.hoffman4@hotmail.com,2024-02-16 06:55:15,REGULAR
5,Kimberly Robinson,kimberly.robinson5@hotmail.com,2024-02-11 05:19:57,PREMIUM
6,Sean Blake,sean.blake6@gmail.com,2026-04-26 12:53:27,REGULAR
7,Gina Moore,gina.moore7@yahoo.com,2025-03-08 03:42:04,REGULAR
8,James Howard,james.howard8@yahoo.com,2024-09-05 00:31:50,REGULAR
9,Renee Blair,renee.blair9@hotmail.com,2024-08-29 12:41:45,PREMIUM
10,Thomas Miller,thomas.miller10@yahoo.com,2024-06-07 18:40:31,REGULAR
11,Lisa Hensley,lisa.hensley11@hotmail.com,2025-06-18 07:35:55,PREMIUM
12,Benjamin Stanley,benjamin.stanley12@yahoo.com,2025-12-14 16:36:03,VIP
13,Dr. Sharon James,dr..sharon.james13@yahoo.com,2025-08-11 00:47:04,REGULAR
14,Holly Wood,holly.wood14@gmail.com,2025-07-15 18:43:51,PREMIUM
15,Mia Sutton,mia.sutton15@gmail.com,2024-03-12 04:27:24,PREMIUM
16,Carolyn Daniel,carolyn.daniel16@gmail.com,2024-05-03 22:51:37,PREMIUM
17,Devin Schaefer,devin.schaefer17@hotmail.com,2025-08-13 12:07:58,PREMIUM
18,Melinda Cameron,melinda.cameron18@gmail.com,2025-07-20 17:55:46,REGULAR
19,Andrew Stewart,andrew.stewart19@yahoo.com,2025-02-18 17:39:16,PREMIUM
20,Thomas Bradley,thomas.bradley20@hotmail.com,2024-04-20 22:04:42,REGULAR
21,Matthew Foster,matthew.foster21@hotmail.com,2025-01-15 07:12:46,REGULAR
22,Derek Wright,derek.wright22@hotmail.com,2026-05-15 04:35:29,REGULAR
23,Nicole Patterson,nicole.patterson23@hotmail.com,2024-03-27 21:31:04,REGULAR
24,Daniel Bright,daniel.bright24@hotmail.com,2025-05-05 00:56:31,REGULAR
25,Peter Callahan Jr.,peter.callahan.jr.25@gmail.com,2026-05-31 02:00:17,REGULAR
26,Jennifer Brown,jennifer.brown26@yahoo.com,2026-02-14 12:41:25,VIP
27,Julie King,julie.king27@hotmail.com,2025-12-13 19:14:13,REGULAR
28,Alexandra Le,alexandra.le28@hotmail.com,2026-05-22 01:19:15,PREMIUM
29,Nicole Mack,nicole.mack29@yahoo.com,2025-10-27 13:10:14,REGULAR
30,Jeffrey Chavez,jeffrey.chavez30@hotmail.com,2024-12-06 16:52:13,REGULAR
31,Deborah Mason,deborah.mason31@gmail.com,2026-02-05 15:36:14,REGULAR
32,Ashley Garrett,ashley.garrett32@hotmail.com,2024-06-19 08:00:57,REGULAR
33,Christina Brooks,christina.brooks33@gmail.com,2025-10-17 19:15:51,REGULAR
34,Paula Moreno,paula.moreno34@gmail.com,2026-07-14 16:19:50,REGULAR
35,Katherine Rodriguez,katherine.rodriguez35@yahoo.com,2026-05-09 09:45:22,REGULAR
36,Sandra Parker,sandra.parker36@gmail.com,2024-06-26 22:47:54,REGULAR
37,Keith Miller,keith.miller37@hotmail.com,2025-02-18 11:57:50,REGULAR
38,Mr. Philip Cannon,mr..philip.cannon38@gmail.com,2025-03-31 22:28:40,REGULAR
39,Theresa Martin,theresa.martin39@hotmail.com,2025-02-13 03:51:19,PREMIUM
